company,RIC,ISIN,GICS_sector,TRBC_sector,country,base_ric,industry
First National Financial Corp,FN.TO,CA33564P1036,Financials/Financial Services/Financial Services/Commercial & Residential Mortgage Finance,Corporate Financial Services (NEC),Canada,FN.TO,Financials
AngioDynamics Inc,ANGO.OQ,US03475V1017,Health Care/Health Care Equipment & Services/Health Care Equipment & Supplies/Health Care Equipment,"Medical Equipment, Supplies & Distribution (NEC)",United States,ANGO.OQ,Health Care
Lesaka Technologies Inc,LSAK.OQ,US64107N2062,Financials/Financial Services/Financial Services/Transaction & Payment Processing Services,Financial Technology (Fintech) (NEC),South Africa,LSAK.OQ,Financials
Cosmo Oil Ord Shs,5007.T^I15,JP3298600002,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Refining & Marketing",Oil & Gas Refining and Marketing (NEC),Japan,5007.T^I15,Energy
Textura Ord Shs,TXTR.N^F16,US8832111046,Information Technology/Software & Services/Software/Application Software,Software (NEC),United States,TXTR.N^F16,Information Technology
Applied Graphene Material Ord Shs,AGMA.L^C23,GB00BFSSB742,Materials/Materials/Chemicals/Commodity Chemicals,Commodity Chemicals (NEC),United Kingdom,AGMA.L^C23,Materials
BackWeb Technologies Ord Shs,BWEBF.PK^K14,IL0010829575,Communication Services/Media & Entertainment/Entertainment/Interactive Home Entertainment,Mobile Application Software,Israel,BWEBF.PK^K14,Communication Services
Hindalco Industries Ltd,HALC.NS,INE038A01020,Materials/Materials/Metals & Mining/Aluminum,Aluminum (NEC),India,HALC.NS,Materials
Gufic Biosciences Ltd,GUFI.NS,INE742B01025,"Health Care/Pharmaceuticals, Biotechnology & Life Sciences/Pharmaceuticals/Pharmaceuticals",Pharmaceuticals (NEC),India,GUFI.NS,Health Care
SBO AG,SBOE.VI,AT0000946652,Energy/Energy/Energy Equipment & Services/Oil & Gas Equipment & Services,Oil Related Equipment,Austria,SBOE.VI,Energy
One United Properties SA,ROONE.BX,ROJ8YZPDHWW8,Real Estate/Real Estate Management & Development/Real Estate Management & Development/Real Estate Development,"Real Estate Rental, Development & Operations (NEC)",Romania,ROONE.BX,Real Estate
Lazydays Holdings Inc,GORV.OQ,US52110H2094,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Automotive Retail,Recreational Products (NEC),United States,GORV.OQ,Consumer Discretionary
Aro Liquidation Ord Shs,AROPQ.PK^D18,US00215Q1031,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Specialty Retail/Apparel Retail,Apparel & Accessories Retailers (NEC),United States,AROPQ.PK^D18,Consumer Discretionary
BW Ideol Ord Shs,BWIDL.OL^L23,NO0010947385,"Energy/Energy/Oil, Gas & Consumable Fuels/Oil & Gas Exploration & Production",Oil Exploration & Production - Offshore,Norway,BWIDL.OL^L23,Energy
Woolworths Holdings Ltd,WHLJ.J,ZAE000063863,Consumer Discretionary/Consumer Discretionary Distribution & Retail/Broadline Retail/Broadline Retail,Department Stores (NEC),South Africa,WHLJ.J,Consumer Discretionary
Elanders AB,ELANb.ST,SE0000119299,Industrials/Transportation/Air Freight & Logistics/Air Freight & Logistics,Freight Logistics,Sweden,ELANb.ST,Industrials
Empresas CMPC SA,CMPC.SN,CL0000001314,Materials/Materials/Paper & Forest Products/Paper Products,Paper Products (NEC),Chile,CMPC.SN,Materials
TAL Education Group,TAL.N,US8740801043,Consumer Discretionary/Consumer Services/Diversified Consumer Services/Education Services,Miscellaneous Educational Service Providers,China (Mainland),TAL.N,Consumer Discretionary
